Variant 7
b
x0 = 1.7, y0 = 0.5
Simple iteration method
Fi1(x,y)=-sin(x - 1) + 1.3
Fi2(x,y)=sin(y + 1) + 0.8

Jacobian:
-cos(x - 1)  0
0            cos(y + 1)

Values:
 -0.764842   0.000000 
  0.000000   0.070737 
                               Error
  Itr |    x     |     y     | Estimate     |      F1    |      F2    | Jacobian norm 
   1  | 1.797495 |  0.655782 | 7.139943e-02 |  7.139e-02 |  1.104e-03 | 0.698502
   2  | 1.796391 |  0.584391 | 3.600391e-03 | -7.717e-04 | -3.517e-03 | 0.699291
   3  | 1.799908 |  0.585163 | 2.454812e-03 |  2.455e-03 |  1.079e-05 | 0.696773
   4  | 1.799897 |  0.582708 | 3.311781e-05 | -7.517e-06 | -3.225e-05 | 0.696781
   5  | 1.799929 |  0.582716 | 2.247337e-05 |  2.247e-05 |  8.957e-08 | 0.696758

Newton method

Derivatives matrix:
-cos(x - 1)  1
1            cos(y + 1)
                               Error
  Itr |    x     |     y     | Estimate     |      F1    |      F2    
   1  | 1.802945 |  0.577046 | 4.624702e-03 | -3.550e-03 |  2.965e-03
   2  | 1.799945 |  0.582679 | 1.619186e-05 | -3.234e-06 |  1.587e-05
   3  | 1.799929 |  0.582693 | 1.388444e-10 | -9.224e-11 |  1.038e-10

Newton method

Derivatives matrix:
-cos(x - 1)  1
1            cos(y + 1)

Alpha0 = 1 Lambda0 = 0.500

                               Error
  Itr |    x     |     y     | Estimate     |      F1    |      F2    |     FF    | k |   Alpha
 151  | 1.801374 |  0.583721 | 2.501365e-03 |  2.033e-03 |  1.457e-03 | 6.257e-06 | 1 | 0.500000
 152  | 1.798502 |  0.581669 | 2.479791e-03 | -2.020e-03 | -1.439e-03 | 6.149e-06 | 1 | 0.500000
 153  | 1.801350 |  0.583704 | 2.460757e-03 |  2.000e-03 |  1.433e-03 | 6.055e-06 | 1 | 0.500000
 154  | 1.798525 |  0.581685 | 2.439552e-03 | -1.987e-03 | -1.416e-03 | 5.951e-06 | 1 | 0.500000
 155  | 1.801327 |  0.583688 | 2.420809e-03 |  1.968e-03 |  1.410e-03 | 5.860e-06 | 1 | 0.500000
 156  | 1.798548 |  0.581702 | 2.399967e-03 | -1.955e-03 | -1.393e-03 | 5.760e-06 | 1 | 0.500000
 157  | 1.801304 |  0.583672 | 2.381510e-03 |  1.936e-03 |  1.387e-03 | 5.672e-06 | 1 | 0.500000
 158  | 1.798570 |  0.581718 | 2.361025e-03 | -1.923e-03 | -1.370e-03 | 5.574e-06 | 1 | 0.500000
 159  | 1.801282 |  0.583656 | 2.342851e-03 |  1.904e-03 |  1.365e-03 | 5.489e-06 | 1 | 0.500000
 160  | 1.798592 |  0.581734 | 2.322716e-03 | -1.892e-03 | -1.348e-03 | 5.395e-06 | 1 | 0.500000
 161  | 1.801260 |  0.583640 | 2.304819e-03 |  1.873e-03 |  1.342e-03 | 5.312e-06 | 1 | 0.500000
 162  | 1.798614 |  0.581749 | 2.285028e-03 | -1.861e-03 | -1.326e-03 | 5.221e-06 | 1 | 0.500000
 163  | 1.801238 |  0.583625 | 2.267406e-03 |  1.843e-03 |  1.321e-03 | 5.141e-06 | 1 | 0.500000
 164  | 1.798635 |  0.581765 | 2.247953e-03 | -1.831e-03 | -1.305e-03 | 5.053e-06 | 1 | 0.500000
 165  | 1.801217 |  0.583610 | 2.230601e-03 |  1.813e-03 |  1.299e-03 | 4.976e-06 | 1 | 0.500000
 166  | 1.798656 |  0.581780 | 2.211480e-03 | -1.801e-03 | -1.283e-03 | 4.891e-06 | 1 | 0.500000
 167  | 1.801196 |  0.583595 | 2.194395e-03 |  1.784e-03 |  1.278e-03 | 4.815e-06 | 1 | 0.500000
 168  | 1.798677 |  0.581795 | 2.175599e-03 | -1.772e-03 | -1.263e-03 | 4.733e-06 | 1 | 0.500000
